test,band,users,repetition,requests,failures,failure_rate,average_ms,p95_ms,p99_ms,throughput_rps,completed_at
PERF-04,1mb,5,1,20,0,0.0,400.08964500011643,970.0,970.0,3.594702731531807,2026-09-06T05:14:57.3320366+08:00
PERF-04,5mb,5,2,20,0,0.0,491.57650000051945,1200.0,1200.0,3.149062699946108,2026-09-06T05:15:57.4658562+08:00
PERF-04,near_limit,5,3,20,0,0.0,449.4731150007283,1200.0,1200.0,3.4086897979433046,2026-09-06T05:16:57.6216944+08:00
PERF-04,1mb,10,1,40,0,0.0,455.3582800002914,1100.0,1100.0,3.7069414695243044,2026-09-06T05:17:57.7332729+08:00
PERF-04,5mb,10,2,40,0,0.0,465.86652000005415,1000.0,1100.0,3.671991083679106,2026-09-06T05:18:57.8925330+08:00
PERF-04,near_limit,10,3,40,0,0.0,597.6229599997168,1500.0,1800.0,3.53446498238668,2026-09-06T05:19:58.0250113+08:00
PERF-04,1mb,20,1,80,0,0.0,522.2258925005008,1300.0,1800.0,3.8346846382767206,2026-09-06T05:20:58.1508779+08:00
PERF-04,5mb,20,2,80,0,0.0,493.5151062501973,1200.0,1400.0,3.833392843037802,2026-09-06T05:21:58.3231901+08:00
PERF-04,near_limit,20,3,80,0,0.0,511.52525124980457,1100.0,1300.0,3.791239294793375,2026-09-06T05:22:58.5029605+08:00
