test,repetition,users,requests,failures,failure_rate,average_ms,p95_ms,p99_ms,throughput_rps,completed_at
PERF-03,1,30,332,0,0.0,864.5820518071428,3200.0,3900.0,11.100244368818364,2026-09-05T23:54:08.9486468+08:00
PERF-03,2,30,337,0,0.0,944.9563973292416,3500.0,4400.0,11.288748891025808,2026-09-05T23:54:39.0197934+08:00
PERF-03,3,30,336,0,0.0,896.7561342257925,3600.0,4600.0,11.198696606065466,2026-09-05T23:55:09.0910436+08:00
