test,band,users,repetition,requests,failures,failure_rate,average_ms,p95_ms,p99_ms,throughput_rps,completed_at
PERF-09,1mb,10,1,40,0,0.0,468.2669874997373,1200.0,1200.0,3.676463782181189,2026-09-06T05:23:58.6547780+08:00
PERF-09,5mb,10,1,40,0,0.0,475.41204249901057,1100.0,1200.0,3.7077420201477396,2026-09-06T05:24:58.7989960+08:00
PERF-09,near_limit,10,1,40,0,0.0,833.873257500818,2700.0,2700.0,3.014802368654998,2026-09-06T05:25:58.9457928+08:00
